주,품목,단위,가격,전주비,전월비,전년비
-,-,-,곡물류,-,-,-
1주,일반미,8kg,"24,000", 0, 0," 1,000"
1주,찹쌀,8kg,"26,000", 0, 0," 4,000"
1주,흑미,1되(800g),"3,500", 0, 0, 0
1주,보리쌀,765g,"1,300", 0, 0, 0
1주,율무,800g,"13,000", 0, 0," 1,000"
1주,백태,720g,"5,000", 0, 0, 0
1주,서리태,720g,"7,000", 0, 0," 2,000"
1주,적두,800g,"8,000", 0, 0," 1,000"
1주,수수,1되(750g),"5,500", 0, 0," 3,500"
1주,기장,1되(800g),"7,500", 0, 0," 1,500"
1주,차조,1되(800g),"11,000", 0, 0," 1,000"
1주,약콩,1되(720g),"6,500", 0, 0, 500
1주,겉메밀,600g,"4,000", 0, 0, 0
1주,참깨,600g,"16,000", 0, 0," 2,000"
1주,거피팥,800g,"11,000", 0, 0, 0
2주,일반미,8kg,"24,000", 0, 0," 1,000"
2주,찹쌀,8kg,"26,000", 0, 0," 4,000"
2주,흑미,1되(800g),"3,500", 0, 0, 0
2주,보리쌀,765g,"1,300", 0, 0, 0
2주,율무,800g,"13,000", 0, 0," 1,000"
2주,백태,720g,"5,000", 0, 0, 500
2주,서리태,720g,"7,000", 0, 0," 2,000"
2주,적두,800g,"8,000", 0, 0," 1,000"
2주,수수,1되(750g),"5,500", 0, 0," 3,500"
2주,기장,1되(800g),"7,500", 0, 0," 1,500"
2주,차조,1되(800g),"11,000", 0, 0," 1,000"
2주,약콩,1되(720g),"6,500", 0, 0, 500
2주,겉메밀,600g,"4,000", 0, 0, 0
2주,참깨,600g,"16,000", 0, 0," 2,000"
2주,거피팥,800g,"11,000", 0, 0," 1,000"
3주,일반미,8kg,"24,000", 0, 0," 1,000"
3주,찹쌀,8kg,"26,000", 0, 0," 4,000"
3주,흑미,1되(800g),"3,500", 0, 0, 0
3주,보리쌀,765g,"1,300", 0, 0, 0
3주,율무,800g,"13,000", 0, 0," 1,000"
3주,백태,720g,"5,000", 0, 0, 500
3주,서리태,720g,"7,000", 0, 0," 2,000"
3주,적두,800g,"8,000", 0, 0," 1,000"
3주,수수,1되(750g),"5,500", 0, 0," 3,500"
3주,기장,1되(800g),"7,500", 0, 0," 1,500"
3주,차조,1되(800g),"11,000", 0, 0," 1,000"
3주,약콩,1되(720g),"6,500", 0, 0, 500
3주,겉메밀,600g,"4,000", 0, 0, 0
3주,참깨,600g,"16,000", 0, 0," 2,000"
3주,거피팥,800g,"11,000", 0, 0," 1,000"
주,품목,단위,가격,전주비,전월비,전년비
-,-,-,채소류,-,-,-
1주,건고추(태양초),1근(600g),"15,000", 0, 0," 7,000"
1주,대파,1단(1kg),"2,500", 500, 500," 3,500"
1주,무,1개(2.5kg),"2,000", 0, 0, 0
1주,총각무,1단(1.5kg),"4,000", 0, 500," 1,000"
1주,배추,1포기(4kg),"5,000", 0," 1,000", 0
1주,청오이,10개(2kg),"10,000", 0, 0, 0
1주,백오이,5개(1kg),"4,000", 0," 1,000"," 1,000"
1주,애호박(조선),1개(500g),"2,000", 0, 500, 500
1주,열무,1단(2kg),"5,000", 0," 2,000"," 1,000"
1주,시금치(포항초),1단(400g),"3,500", 500, 500, 0
1주,시금치(섬초),1단(400g),"4,000", 0, 0," 1,000"
1주,시금치(일반),1단(400g),"2,000", 0," 1,000", 500
1주,부추(조선),1단(800g),"5,000", 0, 0," 1,500"
1주,가지,4개(약500g),"2,500", 500, 500, 500
1주,팽이버섯,3봉지(450g),"1,500", 500, 0, 500
1주,양송이버섯,1근(400g),"5,000", 0, 0, 0
1주,표고버섯,1근(400g),"5,000", 0, 0, 0
1주,새송이버섯,1근(400g),"2,000", 0, 0, 0
1주,느타리버섯,1근(400g),"2,000", 0, 0, 0
1주,피망(레드),1근(400g),"2,000", 0, 500," 2,000"
1주,피망(그린),1근(400g),"4,000", 0," 2,000"," 2,000"
1주,파프리카,1개(230g),"2,000", 0, 500, 0
1주,풋고추,1근(400g),"4,000"," 1,000"," 1,000"," 1,000"
1주,풋고추(롱그린),1근(400g),"4,000"," 1,000"," 1,000"," 1,000"
1주,아삭이 고추(상품),1근(400g),"4,000"," 1,000"," 1,000"," 1,000"
1주,청양고추,1근(400g),"5,000"," 1,000", 0, 0
1주,꽈리고추,1근(400g),"4,000", 500, 0, 500
1주,쑥갓,1단(400g),"2,000", 0, 0, 0
1주,브로콜리,1개(1kg),"1,500", 0, 0, 0
1주,옥수수,10개,"7,000", 0, 0," 2,000"
1주,마늘(깐),1근(400g),"4,000", 0, 0," 1,000"
1주,양배추,1통,"2,000", 0, 0," 1,000"
1주,냉이,1근(400g),"2,000", 0, 0, 0
1주,양상추,1통,"3,000", 0, 0, 0
1주,콩나물,1kg,"2,000", 0, 0, 0
1주,미나리,1kg,"10,000", 0, 0," 2,000"
1주,쪽파,1kg,"10,000", 0, 0," 2,000"
1주,고사리,1근(400g),"5,000", 0, 0," 1,000"
1주,도라지,1근(400g),"4,000", 0, 0, 0
1주,시래기,1근(400g),"2,000", 0, 0, 0
1주,상추,1근(400g),"5,000", 0, 0," 1,000"
1주,깻잎,1근(400g),"6,000", 0," 6,000", 0
1주,취나물,1근(400g),"5,000", 0, 0," 1,000"
1주,케일,1근(400g),"4,000", 0," 2,000", 0
1주,당귀,1근(400g),"8,000", 0, -," 2,000"
1주,생강,1kg,"5,000", 0, 0," 4,000"
1주,양파,1망(2kg),"5,000", 0, 0," 3,000"
1주,고구마,1kg,"7,000", 0, 0, 0
1주,감자,1kg,"3,000", 0, 0, 0
1주,당근,1kg,"2,000", 0, 0, 0
1주,마(장마),1kg(상품),"10,000", 0, 0," 5,000"
1주,더덕(강원도산),400g,"7,000", 0, 0," 2,000"
1주,두부,1모,"1,500", 0, 0, 0
2주,건고추(태양초),1근(600g),"15,000", 0, 0," 7,000"
2주,대파,1단(1kg),"2,500", 0, 500," 2,500"
